year,source,generation (GWh)
2005,hydro,3509
2006,hydro,3595
2007,hydro,3374
2008,hydro,3717
2009,hydro,3366
2010,hydro,8449
2011,hydro,12969
2012,hydro,13057
2013,hydro,15505
2014,hydro,15270
2015,hydro,14039
2016,hydro,17703
2017,hydro,20102
2018,hydro,22328
2019,hydro,19738
2020,hydro,28513
2021,hydro,32896
